"baitName","oeName"
"RP11-54O7.16;RP11-54O7.1","AL645608.1;RP11-54O7.3;SAMD11"
"RP11-54O7.16;RP11-54O7.1","KLHL17;NOC2L;PLEKHN1"
"RP11-54O7.16;RP11-54O7.1","C1orf170;PLEKHN1"
"RP11-54O7.16;RP11-54O7.1","RP5-902P8.10;UBE2J2"
"RP11-54O7.16;RP11-54O7.1","ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3"
"C1orf159","RP11-54O7.2"
"C1orf159","AL645608.1;RP11-54O7.3;SAMD11"
"C1orf159","KLHL17;NOC2L;PLEKHN1"
"C1orf159","C1orf170;PLEKHN1"
"C1orf159","MIR200A;MIR200B;MIR429;RP11-465B22.8"
"C1orf159","TTLL10"
"C1orf159","TTLL10-AS1;TTLL10"
"C1orf159","RP5-902P8.10;UBE2J2"
"C1orf159","ACAP3;CPSF3L;GLTPD1;PUSL1;RP5-890O3.9;TAS1R3"
"C1orf159","DVL1;MXRA8"
"C1orf159","AURKAIP1"
"C1orf159","RP4-758J18.10;VWA1"
"C1orf159","MIB2;RP11-345P4.9"
"C1orf159","CDK11A;RP1-283E3.4;RP1-283E3.8;SLC35E2"
"RP5-1092A11.2;TP73","MEGF6"
"PER3","RP5-892F13.2;TNFRSF9"
"PER3","C1orf109;CDCA8"
"AGTRAP","TARDBP"
"AGTRAP","SRM"
"AGTRAP","EXOSC10;RP4-635E18.6"
"AGTRAP","MTOR-AS1;MTOR"
"AGTRAP","RNU6-537P"
"AGTRAP","RNU6-291P"
"AGTRAP","MTOR"
"AGTRAP","FBXO2;FBXO44"
"AGTRAP","FBXO6"
"RP11-84D1.1;RUNX3","RP4-706G24.1"
"PTP4A2","BAI2"
"PTP4A2","RP11-84A19.3"
NA,"CCDC28B"
NA,"IQCC;RP4-622L5.7"
NA,"DCDC2B;EIF3I;RP4-622L5.7;TMEM234"
NA,"FAM167B"
NA,"LCK"
NA,"HDAC1;MARCKSL1"
"MUTYH;TOE1","C1orf228;TMEM53"
"MUTYH;TOE1","RNU5F-1"
"MUTYH;TOE1","RNU5D-1"
"MUTYH;TOE1","KIF2C"
"MUTYH;TOE1","RP11-269F19.2;RPS8;SNORD55"
"MUTYH;TOE1","RPS8;SNORD38A;SNORD46"
"MUTYH;TOE1","RPS15AP11;SNORD38B"
"MUTYH;TOE1","BEST4"
"MUTYH;TOE1","BTBD19;PLK3;TCTEX1D4"
"MUTYH;TOE1","BTBD19;PTCH2;RNU5E-6P"
"MUTYH;TOE1","PTCH2;RP5-882O7.1"
"MUTYH;TOE1","EIF2B3;RP5-882O7.4"
"MUTYH;TOE1","HECTD3;UROD"
"MUTYH;TOE1","TESK2"
"MUTYH;TOE1","CCDC163P;MMACHC"
"MUTYH;TOE1","AKR1A1"
"GFI1","CDC7"
"GFI1","EPHX4"
"GFI1","BTBD8"
"GFI1","GLMN;RPAP2"
"GFI1","RPL5;SNORA66;SNORD21"
"HENMT1","C1orf194;KIAA1324"
"CHI3L2;DENND2D","KCNA2"
"CHI3L2;DENND2D","KCNA3"
"CHI3L2;DENND2D","CD53"
"CHI3L2;DENND2D","RP5-1125M8.2;RP5-1125M8.3"
"CHI3L2;DENND2D","PIFO"
"CHI3L2;DENND2D","OVGP1"
"CHI3L2;DENND2D","ATP5F1;WDR77"
"CHI3L2;DENND2D","C1orf162"
"CHI3L2;DENND2D","DDX20;FAM212B"
"CD58","SLC22A15"
"CD58","ATP1A1"
"CD58","MIR320B1"
"CD58","AL157904.1"
"CD58","PTGFRN;RP4-753F5.1"
"CD58","CD101"
"CD58","RP11-27K13.3"
"CD58","TTF2"
"CD58","MIR942;TTF2"
"CD58","TRIM45"
"CD101","CD58"
"CD101","CD2"
"PGLYRP4","S100A2"
"PGLYRP4","S100A14;S100A16"
"PGLYRP4","snoU13"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","PGLYRP4"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","S100A9"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","S100A2"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","INTS3;RP11-216N14.8;RP11-216N14.9"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","snoU13"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","CREB3L4;RP11-422P24.10;SLC39A1"
"BX470102.3;S100A3;S100A4;S100A5;S100A6","RAB13;RP11-422P24.9;RPS27;U3"
"SLC27A3","RNU6-160P"
"SLC27A3","PGLYRP4"
"SLC27A3","S100A9"
"SLC27A3","S100A12"
"SLC27A3","S100A14;S100A16"
"SLC27A3","CHTOP;RP1-178F15.4;RP1-178F15.5;S100A13;S100A1"
"SLC27A3","SNAPIN"
"SLC27A3","ILF2"
"SLC27A3","NPR1"
"SLC27A3","INTS3;RP11-216N14.8;RP11-216N14.9"
"SLC27A3","snoU13"
"SLC27A3","GATAD2B"
"SLC27A3","DENND4B"
"SLC27A3","CRTC2"
"SLC27A3","CREB3L4;RP11-422P24.10;SLC39A1"
"SLC27A3","CREB3L4;JTB;RP11-422P24.11"
"SLC27A3","RAB13;RP11-422P24.9;RPS27;U3"
"SLC27A3","MIR190B;TPM3"
"SLC27A3","C1orf189"
"SLC27A3","AL590431.1;UBAP2L"
"SLC27A3","SNORA58;UBAP2L"
"BGLAP","SEMA4A"
"SLAMF6","COPA;NCSTN"
"SLAMF6","VANGL2"
"SLAMF6","RP11-404F10.2"
"SLAMF6","CD48"
"AKR1D1P1;CD247","TADA1"
"AKR1D1P1;CD247","ILDR2"
"AKR1D1P1;CD247","snoU13"
"AKR1D1P1;CD247","RP11-102C16.3"
"AKR1D1P1;CD247","GPA33"
"AKR1D1P1;CD247","DUSP27"
"AKR1D1P1;CD247","POU2F1;RP11-277B15.3"
"AKR1D1P1;CD247","MPZL1"
"IER5","ACBD6"
"IER5","KIAA1614;RP11-46A10.2"
"IER5","CACNA1E"
"NCF2","DHX9"
"NCF2","LAMC1"
"NCF2","SMG7-AS1;SMG7"
"FMOD;RP11-435P24.2","PRELP"
"FMOD;RP11-435P24.2","OPTC"
"FAIM3;PIGR","IKBKE"
"FAIM3;PIGR","RASSF5"
"FAIM3;PIGR","EIF2D"
"FAIM3;PIGR","DYRK3;RP11-343H5.6"
"FAIM3;PIGR","MAPKAPK2;SNORD112"
"FAIM3;PIGR","IL10"
"FAIM3;PIGR","IL19"
"FAIM3;PIGR","IL20"
"FAIM3;PIGR","CD55"
"C4BPB","CD55"
"C4BPB","CR2"
"C4BPB","CR1"
"LEFTY2;PYCR2;RP4-559A3.6;RP4-559A3.7","AC092811.1;LBR"
"LEFTY2;PYCR2;RP4-559A3.6;RP4-559A3.7","LBR"
"C1orf35;MIR3620","MIA3"
"C1orf35;MIR3620","AC092811.1;LBR"
"C1orf35;MIR3620","SDE2"
"C1orf35;MIR3620","PARP1;RP11-118H4.3"
"C1orf35;MIR3620","ITPKB-AS1"
"C1orf35;MIR3620","RNA5SP77;ZNF678"
"C1orf35;MIR3620","WNT3A"
"C1orf35;MIR3620","FAM96AP2;MRPL55"
"C1orf35;MIR3620","C1orf145"
"C1orf35;MIR3620","RP11-245P10.4;TRIM11"
"C1orf35;MIR3620","HIST3H3"
"C1orf35;MIR3620","HIST3H2A;HIST3H2BB;RP5-915N17.3"
"C1orf35;MIR3620","RNF187"
"C1orf35;MIR3620","TMEM78"
"C1orf35;MIR3620","RAB4A;RP5-1061H20.3;RP5-1061H20.4"
"C1orf35;MIR3620","CCSAP"
"C1orf35;MIR3620","ABCB10"
"GJC2;GUK1;IBA57-AS1;IBA57","RP11-378J18.3;TAF1A"
"GJC2;GUK1;IBA57-AS1;IBA57","FAM177B"
"GJC2;GUK1;IBA57-AS1;IBA57","AC092811.1;LBR"
"GJC2;GUK1;IBA57-AS1;IBA57","PARP1;RP11-118H4.3"
"GJC2;GUK1;IBA57-AS1;IBA57","RNA5SP77;ZNF678"
"GJC2;GUK1;IBA57-AS1;IBA57","ARF1"
"GJC2;GUK1;IBA57-AS1;IBA57","C1orf145"
"GJC2;GUK1;IBA57-AS1;IBA57","RP11-245P10.4;TRIM11"
"GJC2;GUK1;IBA57-AS1;IBA57","HIST3H3"
"GJC2;GUK1;IBA57-AS1;IBA57","HIST3H2A;HIST3H2BB;RP5-915N17.3"
"GJC2;GUK1;IBA57-AS1;IBA57","RNF187"
"GJC2;GUK1;IBA57-AS1;IBA57","RAB4A;RP5-1061H20.3;RP5-1061H20.4"
"GJC2;GUK1;IBA57-AS1;IBA57","CCSAP"
"GJC2;GUK1;IBA57-AS1;IBA57","ABCB10"
"GJC2;GUK1;IBA57-AS1;IBA57","COG2"
"GJC2;GUK1;IBA57-AS1;IBA57","CHML"
"DISC1","EXOC8;SPRTN"
"DISC1","EGLN1"
"CNST;TFB2M","RFWD2;RP11-195C7.1"
"CNST;TFB2M","ADSS;C1orf101"
"CNST;TFB2M","DESI2"
"CNST;TFB2M","RNU6-947P"
"CNST;TFB2M","KIF26B"
"CNST;TFB2M","SCCPDH"
"CNST;TFB2M","AHCTF1"
"CNST;TFB2M","ZNF669"
"CNST;TFB2M","ZNF496"
"ZNF496","KIF28P;RP11-439E19.3"
"ZNF496","AHCTF1"
"ZNF496","ZNF669"
"VIM-AS1;VIM","FAM188A"
"VIM-AS1;VIM","snoU13"
"VIM-AS1;VIM","PTER"
"VIM-AS1;VIM","RSU1"
"VIM-AS1;VIM","CUBN"
"VIM-AS1;VIM","TRDMT1"
"VIM-AS1;VIM","RP11-124N14.3;VIM"
"VIM-AS1;VIM","RP11-390B4.5;STAM"
"VIM-AS1;VIM","NSUN6"
"VIM-AS1;VIM","ARL5B-AS1;ARL5B"
"C10orf54","SLC29A3"
"C10orf54","snoU13"
"ANXA11;LINC00857","POLR3A;RPS24"
"ANXA11;LINC00857","PPIF"
"ANXA11;LINC00857","SFTPA2"
"ANXA11;LINC00857","TMEM254-AS1;TMEM254"
"ANXA11;LINC00857","RP11-137H2.4;SH2D4B"
"AL355490.1;PGAM1;Y_RNA","ARHGAP19;ARHGAP19-SLIT1"
"AL355490.1;PGAM1;Y_RNA","FRAT1"
"AL355490.1;PGAM1;Y_RNA","FRAT1;FRAT2;RP11-452K12.4"
"AL355490.1;PGAM1;Y_RNA","MMS19;UBTD1"
"AL355490.1;PGAM1;Y_RNA","AVPI1"
"FAM160B1","NRAP"
"FAM160B1","PLEKHS1"
"FAM160B1","DCLRE1A;NHLRC2"
"FAM160B1","ADRB1"
"FAM160B1","RNU6-709P"
"FAM160B1","C10orf118;MIR2110"
"FAM160B1","TDRD1"
"FAM160B1","VWA2"
"FAM160B1","ABLIM1;snoU13"
"FAM160B1","ABLIM1"
"FAM160B1","TRUB1"
"FAM160B1","ATRNL1"
"CTBP2","ACADSB;IKZF5"
"CTBP2","EDRF1;RP11-383C5.4;RP11-383C5.5"
"CTBP2","BCCIP"
"ANO9;PKP3;SIGIRR","BET1L;RIC8A"
"RNH1","BET1L;RIC8A"
"RNH1","PSMD13;SIRT3"
"CDHR5;SCT","RP11-754B17.1"
"CDHR5;SCT","CEND1;PIDD;SLC25A22"
"MRGPRG-AS1;MRGPRG","SNORA54"
"MRGPRG-AS1;MRGPRG","NAP1L4"
"MRGPRG-AS1;MRGPRG","RNU1-91P"
"LDHA;MIR3159","RNU7-49P"
"LDHA;MIR3159","GTF2H1;HPS5"
"LDHA;MIR3159","TSG101"
"LDHA;MIR3159","SPTY2D1"
"LDHA;MIR3159","RP11-1081L13.4"
"LDHA;MIR3159","IGSF22;PTPN5"
"AC103828.1","NUP160"
"AC103828.1","PTPRJ"
"AHNAK;RP11-864I4.3","ASRGL1;CTD-2531D15.5;SCGB1A1"
"AHNAK;RP11-864I4.3","CTD-2531D15.4"
"AHNAK;RP11-864I4.3","AHNAK"
"AHNAK;RP11-864I4.3","RNU2-2P;WDR74"
"AHNAK;RP11-864I4.3","SNHG1"
"AHNAK;RP11-864I4.3","SLC3A2;SNHG1"
"C11orf80;RN7SL12P;SPTBN2","RP11-867G23.10"
"ALDH3B1;UNC93B1","SUV420H1"
"FUT4;PIWIL4","MED17;TAF1D"
"FUT4;PIWIL4","CCDC82;JRKL"
"HTR3A","NNMT"
"CLMP;HSPA8","snoU13"
"CLMP;HSPA8","CRTAM"
"CLMP;HSPA8","C11orf63"
"CLMP;HSPA8","SNORD14E"
"CLMP;HSPA8","HSPA8;SNORD14D"
"DCPS;RP11-712L6.5","DDX25;PUS3"
"DCPS;RP11-712L6.5","FAM118B;RP11-50B3.4;RPUSD4"
"DCPS;RP11-712L6.5","RNU4-86P"
"DCPS;RP11-712L6.5","ST3GAL4"
"DCPS;RP11-712L6.5","RP11-688I9.2"
"DCPS;RP11-712L6.5","RP11-1007G5.2"
"DCPS;RP11-712L6.5","NCAPD3;VPS26B"
"CHD4;LPAR5","IFFO1"
"CHD4;LPAR5","CHD4;NOP2"
"CHD4;LPAR5","CHD4;RP5-940J5.6;SCARNA11"
"CHD4;LPAR5","ACRBP"
"CHD4;LPAR5","ACRBP;ING4"
"CHD4;LPAR5","ING4;RP4-761J14.8"
"CHD4;LPAR5","ZNF384"
"CHD4;LPAR5","PIANP"
"CHD4;LPAR5","COPS7A;RP4-761J14.9"
"CHD4;LPAR5","PTMS"
"CHD4;LPAR5","LAG3;MLF2;PTMS"
"CHD4;LPAR5","CD4"
"CHD4;LPAR5","CD4;GPR162;LEPREL2"
"CHD4;LPAR5","GNB3"
"CHD4;LPAR5","CDCA3;USP5"
"CHD4;LPAR5","LRRC23;RPL13P5;SPSB2;TPI1;USP5"
"CHD4;LPAR5","ATN1;C12orf57;RNU7-1"
"CHD4;LPAR5","EMG1;MIR141;MIR200C;PHB2;PTPN6;SCARNA12;U47924.27;U47924.29"
"CHD4;LPAR5","EMG1;PHB2"
"CHD4;LPAR5","C1RL-AS1;C1RL"
"CHD4;LPAR5","CLSTN3;RBP5;RP11-273B20.1"
"MED21","SSPN"
"MED21","BHLHE41;RP11-283G6.3"
"MED21","ITPR2"
"MED21","ASUN;FGFR1OP2"
"MED21","STK38L"
"MED21","ARNTL2"
"MED21","PPFIBP1"
"MED21","CCDC91;RP11-967K21.1"
"STK38L","SSPN"
"STK38L","ASUN;FGFR1OP2"
"STK38L","RP11-421F16.3"
"STK38L","TM7SF3"
"STK38L","MED21"
"STK38L","CCDC59;METTL25"
"BIN2","LETMD1"
"DGKA;WIBG","MAP3K12"
"DGKA;WIBG","BLOC1S1;ITGA7;RP11-644F5.10"
"DGKA;WIBG","RDH5"
"DGKA;WIBG","CD63;GDF11;RDH5;RP11-644F5.11;RP11-644F5.12"
"DGKA;WIBG","ORMDL2;SARNP"
"DGKA;WIBG","DNAJC14;RP11-762I7.5;TMEM198B"
"DGKA;WIBG","MMP19"
"DGKA;WIBG","RP11-603J24.4;RPS26"
"DGKA;WIBG","ERBB3;RP11-603J24.9"
"DGKA;WIBG","PA2G4"
"DGKA;WIBG","PA2G4;RP11-603J24.17;RPL41"
"DGKA;WIBG","ESYT1;ZC3H10"
"DGKA;WIBG","RP11-603J24.6"
"DGKA;WIBG","RP11-977G19.5;SMARCC2"
"DGKA;WIBG","NABP2;RNF41"
"DGKA;WIBG","TIMELESS"
"DGKA;WIBG","BAZ2A"
"IL23A;PAN2","RP11-603J24.6"
"IL23A;PAN2","TIMELESS"
"VPS37B","C12orf65;MPHOSPH9"
"NDFIP2-AS1;NDFIP2","MYCBP2"
"NDFIP2-AS1;NDFIP2","RBM26-AS1;RBM26"
"RASA3","CDC16"
"CEBPE","SLC7A8"
"CEBPE","C14orf164"
"CEBPE","BCL2L2;HOMEZ;PPP1R3E;RP11-124D2.7"
"LRRC16B","REC8"
"CIDEB;LTB4R2;LTB4R;NOP9","DCAF11;NRL"
"CIDEB;LTB4R2;LTB4R;NOP9","IPO4;RP11-468E2.2;TM9SF1"
"CIDEB;LTB4R2;LTB4R;NOP9","TSSK4"
"CIDEB;LTB4R2;LTB4R;NOP9","CHMP4A;TM9SF1"
"CIDEB;LTB4R2;LTB4R;NOP9","AL136419.6;MDP1;NEDD8"
"CIDEB;LTB4R2;LTB4R;NOP9","GMPR2;NEDD8;NEDD8-MDP1"
"CIDEB;LTB4R2;LTB4R;NOP9","GMPR2;TINF2"
"CIDEB;LTB4R2;LTB4R;NOP9","ADCY4"
"CIDEB;LTB4R2;LTB4R;NOP9","CBLN3;KHNYN"
"CIDEB;LTB4R2;LTB4R;NOP9","CBLN3;KHNYN"
"CIDEB;LTB4R2;LTB4R;NOP9","SDR39U1"
"ARF6","AL139099.1;LRR1;RPS29"
"ARF6","MGAT2;RP11-649E7.5;RPL36AL"
"ARF6","C14orf182;RP11-58E21.3"
"ARF6","RP11-58E21.3"
"ARF6","C14orf183;RP11-58E21.5;RP11-58E21.7"
"ARF6","VCPKMT"
"ARF6","SOS2"
"ARF6","ATL1;MAP4K5"
"ARF6","NIN;RP11-286O18.1"
"ARF6","NIN"
"ARF6","PYGL;RP11-218E20.5"
"ARF6","ERO1L"
"ZBTB1;ZBTB25","PPP2R5E"
"ZBTB1;ZBTB25","ESR2;RP11-544I20.2"
"NEK9;RP11-950C14.7","TMED10"
"NEK9;RP11-950C14.7","RNU4ATAC14P"
"NEK9;RP11-950C14.7","RP11-293M10.2"
"NEK9;RP11-950C14.7","RP11-293M10.1"
"NEK9;RP11-950C14.7","FOS"
"NEK9;RP11-950C14.7","RP11-293M10.4;RP11-293M10.5"
"NEK9;RP11-950C14.7","JDP2;RP11-293M10.6"
"NEK9;RP11-950C14.7","BATF"
"NEK9;RP11-950C14.7","AC007182.6;FLVCR2"
"NEK9;RP11-950C14.7","C14orf1;TTLL5"
"GPR65","AL162311.1;RALGAPA1"
"GPR65","FBXO33"
"GPR65","FAM179B;KLHL28"
"GPR65","PCNXL4;RP11-16B13.1"
"GPR65","ERH;SLC39A9"
